eval/info_normalized_performance_mean,eval/info_out_water_final,eval/info_out_water_mean,eval/best_episode_reward,eval/info_normalized_performance_final,eval/episode_reward,eval/episode,eval/info_performance_mean,eval/info_performance_final,eval/mean_episode_reward,eval/eval_time,eval/info_distance_to_target_mean,eval/info_distance_to_target_final,train_alpha/value,train/batch_reward,train/episode_reward,train/info_normalized_performance_final,train/episode,train/duration,train/info_out_water_mean,train/info_performance_final,train/info_performance_mean,train_alpha/loss,train_critic/loss,train/info_distance_to_target_final,train_actor/target_entropy,train/info_out_water_final,train/info_distance_to_target_mean,train_actor/loss,train_actor/entropy,train/info_normalized_performance_mean
-0.045301225,0.0,0.0,-1863.8075096905231,-0.08814035,-1871.0940025746822,0,-1.2543615,-1.3057685,-1881.5422002077103,14.420809507369995,1.2543615,1.3057685,,,,,,,,,,,,,,,,,,
0.6450088,0.014337525,0.011616826,-459.23409249428863,0.71385396,-483.1315214057545,134,-0.42598942,-0.34337527,-638.9841310816398,13.985056638717651,0.30982116,0.2,0.1590253888020697,-13.442666053771973,-484.955825984478,0.8333333,121,1.5094525814056396,0.0,-0.2,-0.32330394,-0.14918085932731628,5370.5927734375,0.2,-1,0.0,0.32330394,320.7215576171875,-1.1178991794586182,0.7305801
0.744091,0.0,0.0,-447.1933560371399,0.8333333,-447.1933560371399,268,-0.30709085,-0.2,-460.6362141340971,15.143426418304443,0.30709085,0.2,0.26411841335361275,-10.43395709991455,,,,,,,,-0.15515628457069397,2721.35546875,,-1,,,415.68011474609375,-1.3458316326141357,
0.6960505,0.006692943,0.0064708004,-442.11260664463043,0.7775588,-715.3256839622162,402,-0.36473933,-0.26692945,-547.1090022793568,13.524302005767822,0.30003133,0.2,0.4137434171569555,-8.428933143615723,,,,,,,,-0.08000186085700989,1526.308837890625,,-1,,,513.4217529296875,-0.8046953082084656,
0.72794396,0.0019722013,0.0017137371,-457.0369114279747,0.81689835,-469.3649890720844,536,-0.32646737,-0.21972203,-489.7010144061425,15.25270128250122,0.30933,0.2,0.5817865889128847,-8.369443893432617,,,,,,,,-0.019624195992946625,13233.521484375,,-1,,,563.7892456054688,-0.5868914127349854,
0.7220625,0.0023701922,0.0023038767,-458.4793472290039,0.81358176,-458.4793472290039,670,-0.33352503,-0.22370192,-500.2875167903229,13.649088382720947,0.31048626,0.2,0.7088530290691133,-7.1320414543151855,,,,,,,,0.07052072137594223,824.4722290039062,,-1,,,534.786865234375,-0.5507346987724304,
0.7185192,0.0031079545,0.0029319741,-450.00049579143524,0.8074337,-458.5366778075695,804,-0.33777693,-0.23107955,-506.66536071763164,13.883024215698242,0.3084572,0.2,0.6870114331513039,-10.226906776428223,,,,,,,,0.17375119030475616,1878.25341796875,,-1,,,736.503173828125,-0.47786739468574524,
0.7388727,0.0,9.435923e-06,-459.44247028542685,0.8333333,-465.60347586870193,938,-0.3133528,-0.2,-470.0291938530818,13.56998062133789,0.31325844,0.2,0.5949310794909315,-7.461701393127441,,,,,,,,0.1132802963256836,874.961181640625,,-1,,,587.8681640625,-0.687280535697937,
0.68803155,0.010673181,0.009578852,-274.0917678177357,0.7697533,-431.46536698937416,1072,-0.37436205,-0.27629605,-561.5430916144485,13.803609609603882,0.27857357,0.16956422,0.4855758361833704,-7.39458703994751,,,,,,,,0.1271423101425171,30735.802734375,,-1,,,562.788818359375,-0.30869317054748535,
0.65227467,0.010822778,0.010394137,-449.5696005821228,0.7431435,-779.1765771397834,1206,-0.41727042,-0.3082278,-625.9056606319484,14.05760407447815,0.3133291,0.2,0.4604511066492575,-7.85523796081543,,,,,,,,0.041866593062877655,3174.305908203125,,-1,,,527.71240234375,-0.6804976463317871,
