eval/episode,eval/mean_episode_reward,eval/best_episode_reward,eval/info_neg_group_dist_mean,eval/info_performance_mean,eval/info_performance_final,eval/info_neg_fixation_dist_mean,eval/info_neg_fixation_dist_final,eval/episode_reward,eval/info_normalized_performance_final,eval/info_neg_group_dist_final,eval/info_normalized_performance_mean,eval/eval_time,train/info_performance_mean,train_actor/loss,train/info_neg_group_dist_final,train_actor/target_entropy,train_critic/loss,train/info_normalized_performance_final,train_actor/entropy,train/info_neg_group_dist_mean,train_alpha/loss,train_alpha/value,train/batch_reward,train/duration,train/episode,train/episode_reward,train/info_normalized_performance_mean,train/info_neg_fixation_dist_final,train/info_performance_final,train/info_neg_fixation_dist_mean
1000,-1243.7512783391355,-937.5001490116119,-0.21559928,-0.24875024,-0.25642872,-0.027625801,-0.035237838,-1026.6569688757227,-0.03395328,-0.21414332,-0.009125629,40.92857909202576,-0.225,921.092041015625,-0.22500002,-8,135.16204833984375,0.0,-2.881085157394409,-0.225,0.07618145644664764,0.1339783095819111,-15.596084594726562,3.7513046264648438,996,-1125.0001192092896,0.0,0.0,-0.22500002,0.0
1100,-1589.803680009471,-1148.515396792849,-0.21937719,-0.31796077,-0.33176416,-0.082152955,-0.09710526,-3315.026059957454,-0.14965568,-0.21523786,-0.10569899,44.32648277282715,-0.46185088,990.8955078125,-0.18328062,-8,108.05939483642578,-0.5311818,-3.8403708934783936,-0.19277653,0.03625873103737831,0.1362688699202666,-16.115337371826172,4.491190433502197,1096,-2309.2542353524004,-0.47792256,-0.24601145,-0.47849435,-0.2242286
1200,-1380.373264003409,-1000.4693524877075,-0.1968482,-0.27607465,-0.282345,-0.066022046,-0.07806256,-1851.530391741544,-0.09434183,-0.18866995,-0.06854797,42.895145654678345,-0.3578625,991.9420166015625,-0.23160505,-8,96.2072982788086,0.003179608,-4.45710563659668,-0.2573274,-0.01594865694642067,0.14039003775030529,-15.219865798950195,5.255453824996948,1196,-1789.3124171881936,0.0127930995,-0.1081186,-0.36134738,-0.08377923
1300,-1584.492282157462,-1128.1319503090344,-0.20581914,-0.31689847,-0.3278587,-0.0925661,-0.10468469,-1250.0002980232239,-0.13354471,-0.20223708,-0.09414738,47.08986759185791,-0.26678562,997.3303833007812,-0.25920466,-8,122.72486877441406,0.086102754,-4.40239143371582,-0.25223917,0.08212672919034958,0.14289158713225994,-14.655574798583984,4.301149129867554,1296,-1333.9280230350414,0.110714674,-0.01247044,-0.27416918,-0.012122028
1400,-1311.5808873893923,-900.3539131337311,-0.17803858,-0.2623162,-0.25460738,-0.070231326,-0.078645274,-1806.3594525121152,0.061658658,-0.16023308,0.027276488,45.50415921211243,-0.3079959,978.475830078125,-0.14392556,-8,63.93603515625,0.018659523,-4.188126564025879,-0.15968268,-0.007117059081792831,0.14803270706510008,-14.301814079284668,4.3584065437316895,1396,-1539.9795061023906,-0.005700882,-0.1305083,-0.30053553,-0.12359438
1500,-1181.8041420008503,-967.2375125077087,-0.18467666,-0.23636083,-0.23474605,-0.043070126,-0.046564236,-1222.3329239874147,0.14576545,-0.17886898,0.14107186,45.326014280319214,-0.27915958,949.1898193359375,-0.22337143,-8,85.46601867675781,-0.16193186,-4.27091646194458,-0.22562379,-0.040269359946250916,0.1483168266965248,-14.423173904418945,3.2693817615509033,1496,-1395.7980142766974,-0.14527,-0.049874585,-0.28322095,-0.044613212
1600,-1050.812130821813,-601.4244246762246,-0.14616245,-0.21016243,-0.2071404,-0.053333312,-0.0647325,-733.1053828843869,0.2739818,-0.1294614,0.2599832,41.630181550979614,-0.30774558,927.240966796875,-0.16472843,-8,67.04966735839844,-0.05949039,-4.014514923095703,-0.20652042,0.024937845766544342,0.14467309764686048,-13.555781364440918,4.0891900062561035,1596,-1538.7276843604923,-0.14509962,-0.10000802,-0.28473806,-0.08435427
1700,-1206.3892529703444,-496.7455339350272,-0.1598522,-0.24127786,-0.24760704,-0.0678547,-0.078592196,-496.7455339350272,0.0067931116,-0.15329641,0.037007585,45.648136138916016,-0.1561572,904.8623046875,-0.10580451,-8,119.82171630859375,0.4766572,-3.9103262424468994,-0.11678814,0.006488500162959099,0.15495791013390586,-13.17325210571289,4.119599342346191,1696,-780.7859241799451,0.44477454,-0.034488056,-0.14719018,-0.032807533
1800,-1106.4626914050527,-652.5492155784741,-0.15333338,-0.22129254,-0.21508892,-0.05663263,-0.059206415,-1045.9358559257066,0.18985862,-0.1440412,0.17064284,44.18297290802002,-0.44508475,860.0226440429688,-0.2750012,-8,71.75782775878906,-0.649738,-3.971113681793213,-0.2751871,0.017945200204849243,0.1526077747859257,-13.294256210327148,3.9449408054351807,1796,-2225.4238886401617,-0.61849,-0.1488973,-0.45367795,-0.14158142
1900,-1243.5762015728696,-574.4988817407284,-0.16972947,-0.24871524,-0.24386545,-0.06582146,-0.07391018,-574.4988817407284,0.10194095,-0.15517321,0.08587246,48.132803440093994,-0.46570033,835.89208984375,-0.111999385,-8,85.10958862304688,-0.986103,-3.5677640438079834,-0.1566664,0.03906262665987015,0.16216199871684917,-13.56231689453125,4.764043092727661,1896,-2328.5015550830076,-0.5853627,-0.39284867,-0.5834178,-0.25752828
2000,-981.2457723549433,-347.62663169776715,-0.16010228,-0.19624914,-0.19235107,-0.030122403,-0.03159104,-1022.1113262290601,0.3118973,-0.15444182,0.29685688,43.877726316452026,-0.24532896,841.530517578125,-0.1877721,-8,88.47622680664062,-0.16009814,-4.480672359466553,-0.18931514,0.02356465347111225,0.16184694710502084,-13.468758583068848,3.898054361343384,1996,-1226.6448578139898,-0.15448916,-0.048957318,-0.24652088,-0.04667822
2100,-1201.8080533628863,-782.4941818891966,-0.18841825,-0.24036162,-0.24090917,-0.04328613,-0.048157375,-844.4531827819537,0.10681363,-0.18312033,0.109489836,42.93444633483887,-0.23636183,797.8524169921875,-0.22880124,-8,117.52149963378906,0.25551087,-3.126561164855957,-0.22373286,0.0653238371014595,0.17945172630046322,-13.142127990722656,4.393484115600586,2096,-1181.8092114475303,0.28645486,-0.014842336,-0.24661204,-0.010524166
2200,-1171.1477051214313,-554.9847524357028,-0.15578714,-0.23422953,-0.23748071,-0.06536866,-0.07429519,-1011.902305597356,0.08358525,-0.14832649,0.09459078,43.45892071723938,-0.27765748,794.2023315429688,-0.27900547,-8,90.7546615600586,0.16836065,-3.8043124675750732,-0.2719706,-0.10332795977592468,0.17377490966966727,-13.794638633728027,4.869260311126709,2196,-1388.2875646341563,0.19226903,-0.005725467,-0.28587604,-0.004739108
2300,-1122.3136352971462,-725.1148436358199,-0.17804122,-0.22446272,-0.22533277,-0.038684584,-0.048009437,-1745.3022643090071,0.18438303,-0.16772144,0.19340396,46.508402585983276,-0.23446813,728.6730346679688,-0.13071954,-8,71.67599487304688,0.3883878,-2.636533260345459,-0.15102573,-0.004133987240493298,0.18953739338886544,-12.255105972290039,5.296568155288696,2296,-1172.340656480519,0.35319138,-0.075824894,-0.22170942,-0.06953533
2400,-1367.615268785437,-863.1929093459621,-0.15348922,-0.27352306,-0.28358355,-0.10002822,-0.11547722,-1385.2127858034983,-0.11339084,-0.14501086,-0.06342149,48.63751220703125,-0.2621082,652.97119140625,-0.13500008,-8,53.200767517089844,-0.23224054,-2.391744375228882,-0.13984177,0.0892232283949852,0.18884671726521346,-12.212770462036133,4.086137533187866,2396,-1310.5411206837744,-0.23345037,-0.10570922,-0.26185113,-0.1018887
2500,-1035.60647765063,-657.8468747690931,-0.1557254,-0.2071213,-0.2046001,-0.04282992,-0.053055666,-1133.5106106381863,0.26929104,-0.1409333,0.26239142,45.441561460494995,-0.23877196,655.632568359375,-0.15800926,-8,54.30630111694336,0.27497527,-2.118964910507202,-0.16620454,0.03897003456950188,0.1666158963310682,-12.704586029052734,4.2452263832092285,2496,-1193.8597810501233,0.26531708,-0.06468649,-0.23563305,-0.060472827
2600,-934.9165400379388,-746.1753077397589,-0.1518352,-0.1869833,-0.17949644,-0.029290076,-0.032395817,-827.5161059910897,0.41843063,-0.14062145,0.39739528,49.59864568710327,-0.20926662,698.3326416015625,-0.18375936,-8,45.83449172973633,-0.014192329,-3.1317219734191895,-0.17388955,0.005838138982653618,0.15740322689059597,-12.643250465393066,4.407660961151123,2596,-1046.3332013366744,0.06992608,-0.037028268,-0.22819328,-0.029480925
2700,-958.0533972072292,-491.21188375087513,-0.16186737,-0.1916107,-0.1876199,-0.024786081,-0.028271925,-491.21188375087513,0.39799142,-0.15369359,0.38511866,50.94491934776306,-0.34352708,678.61279296875,-0.34337345,-8,55.937286376953125,0.00064411305,-2.2898712158203125,-0.34337798,0.06658080220222473,0.1675324615138377,-11.886354446411133,4.147239446640015,2696,-1717.6350282861495,0.0006487973,-0.00012930689,-0.34352863,-0.00012418733
2800,-1395.0460266956263,-660.366358608444,-0.1478735,-0.2790092,-0.3096758,-0.10927974,-0.14770636,-2551.015770890481,-0.24617787,-0.13242817,-0.11492889,46.988038063049316,-0.14835107,689.9443359375,-0.096908845,-8,54.39168930053711,0.5482826,-2.8118162155151367,-0.110482454,0.05660117417573929,0.15347111776845618,-11.628097534179688,4.390887260437012,2796,-741.7554101580754,0.50549644,-0.03217198,-0.13551521,-0.03155719
2900,-1109.1551407316924,-559.1579804254616,-0.14764185,-0.22183102,-0.22434768,-0.06182431,-0.071648635,-795.6884923735197,0.18727306,-0.13836935,0.1993114,49.06815266609192,-0.19699568,697.4039306640625,-0.102880076,-8,57.820533752441406,0.28001994,-2.24819278717041,-0.1112319,0.003148721531033516,0.16059637642145003,-11.898932456970215,4.548368692398071,2896,-984.9783554010355,0.28365222,-0.079262055,-0.19799455,-0.071469806
3000,-1199.3587661943911,-364.8455773611204,-0.16291597,-0.23987177,-0.27301988,-0.06412982,-0.10149467,-2713.725636964664,0.07289288,-0.15122627,0.18492621,48.369513750076294,-0.11749764,687.7200927734375,-0.09519281,-8,60.41630935668945,0.7165775,-2.496112108230591,-0.11367359,0.016302041709423065,0.1632026803281893,-12.271657943725586,4.034098863601685,2996,-587.4881736171665,0.66429245,-0.0033375623,-0.09919789,-0.0031867016
3100,-809.0666678266836,-588.4825231367722,-0.12652631,-0.16181332,-0.16679303,-0.029405853,-0.036815017,-588.4825231367722,0.4367333,-0.12261502,0.4611088,45.977028369903564,-0.16726808,664.5655517578125,-0.15562071,-8,60.39741134643555,0.54205,-1.9679445028305054,-0.16550547,0.115031898021698,0.17823042601302688,-10.6644926071167,4.168968200683594,3096,-836.3404303125571,0.5134019,-0.0014996754,-0.15742032,-0.0014688468
3200,-949.0790900418203,-600.4454543814791,-0.14101532,-0.18981582,-0.19613107,-0.040667083,-0.048366047,-1087.127887486422,0.24258976,-0.13809179,0.2658367,46.0281867980957,-0.112101465,642.410400390625,-0.08590717,-8,46.89662170410156,0.74263525,-2.008028507232666,-0.10672903,0.07434965670108795,0.1771933455309663,-10.693942070007324,5.5138397216796875,3196,-560.5073544336483,0.6853292,-0.0048158523,-0.09168619,-0.0044770297
3300,-807.5743693855302,-451.4207689091563,-0.12736867,-0.16151486,-0.16176674,-0.02845517,-0.032482732,-969.1921785085287,0.39708325,-0.122787476,0.39916888,48.522722482681274,-0.24716303,592.0364990234375,-0.09866123,-8,48.37972640991211,0.1901148,-0.8463456630706787,-0.11634887,-0.03585103526711464,0.17426266185087758,-10.299165725708008,6.094833135604858,3296,-1235.815078588712,0.3408986,-0.17087144,-0.30370694,-0.109011814
3400,-954.1502050865911,-618.4334699611463,-0.13985544,-0.19083004,-0.20783064,-0.042478833,-0.059215598,-784.6789827698376,0.2418547,-0.13677195,0.29262117,49.05579376220703,-0.12115706,577.992919921875,-0.09578881,-8,91.77630615234375,0.6994395,-2.0954344272613525,-0.11239034,-0.02834734506905079,0.16745837813173248,-10.543216705322266,4.849836826324463,3396,-605.7853039336624,0.65383697,-0.007839476,-0.10519618,-0.007305607
3500,-1062.1235939142125,-557.6358710014028,-0.15104257,-0.21242473,-0.21271317,-0.05115179,-0.056942742,-557.6358710014028,0.27814147,-0.14438187,0.2819823,51.66129183769226,-0.29614934,580.2979125976562,-0.08498773,-8,51.812225341796875,-0.014700949,-2.0007853507995605,-0.095909946,0.00036409590393304825,0.16759150546794188,-9.894815444946289,4.039031744003296,3496,-1480.746610033675,0.03298173,-0.18813701,-0.31075215,-0.16686612
3600,-1212.5670781654017,-608.700377498044,-0.21842444,-0.24251343,-0.24219842,-0.020074148,-0.02316252,-890.3908433216566,0.20430264,-0.21440342,0.20259278,44.17206311225891,-0.2283105,557.3330078125,-0.16065638,-8,53.3609619140625,0.29251152,-1.7634377479553223,-0.17153713,0.01237520482391119,0.1657146709775955,-9.70755672454834,5.323217868804932,3596,-1141.5524387977712,0.2694065,-0.05036149,-0.22109017,-0.047311105
3700,-1135.0092184389468,-563.5865986516001,-0.14293586,-0.22700185,-0.22654144,-0.07005499,-0.077015266,-931.0767177247908,0.17667183,-0.13412312,0.17650959,46.869999408721924,-0.07795638,567.0614013671875,-0.06572258,-8,53.7690315246582,0.485528,-1.9640692472457886,-0.06361666,0.05449772998690605,0.1619402150549967,-9.955764770507812,3.9053421020507812,3696,-389.78187496220926,0.643628,-0.039015148,-0.11254075,-0.011949752
3800,-857.3012986024174,-471.61908341775415,-0.1255148,-0.17146027,-0.17259681,-0.03828789,-0.04175521,-711.7332480909681,0.32478744,-0.12249056,0.32994062,45.478808879852295,-0.10206784,547.6975708007812,-0.0888703,-8,43.559654235839844,0.5521071,-1.8638954162597656,-0.09215146,-0.02034037560224533,0.16258012899123434,-9.567760467529297,4.091844320297241,3796,-510.3392014699057,0.53340423,-0.0075885723,-0.09797659,-0.008263645
3900,-942.5895980447419,-512.5119928700167,-0.13031152,-0.18851791,-0.20205636,-0.04850533,-0.06404327,-2611.5603928209657,0.18618691,-0.12520441,0.25671235,45.80980658531189,-0.17655446,542.3026123046875,-0.14424138,-8,48.42367935180664,0.17876992,-1.8356614112854004,-0.1334375,-0.013031340204179287,0.1556594349902518,-9.885387420654297,3.676705837249756,3896,-882.7722516148788,0.2756741,-0.046611227,-0.20017485,-0.035930794
4000,-693.6014042306863,-418.87079196516424,-0.10966863,-0.13872027,-0.13284937,-0.02420971,-0.02711933,-556.733523566225,0.5292495,-0.10030617,0.5124557,46.04213809967041,-0.16204382,525.55615234375,-0.1288994,-8,53.139060974121094,0.39315492,-1.5897796154022217,-0.13187942,-0.0046148840337991714,0.16192776922275692,-9.4552583694458,4.937613248825073,3996,-810.2191034970701,0.44836152,-0.041134465,-0.17826076,-0.025137007
4100,-765.1287170120617,-533.0312464875169,-0.12068211,-0.15302576,-0.14290905,-0.026953029,-0.029052436,-866.7182185033175,0.51385486,-0.10804613,0.4824842,50.859821796417236,-0.12975293,528.8843994140625,-0.09033292,-8,59.208614349365234,0.5490559,-1.8574265241622925,-0.10155977,0.03266028314828873,0.15223740097532237,-9.482120513916016,3.836745500564575,4096,-648.7646711073467,0.5281712,-0.028063934,-0.12400964,-0.023494296
4200,-994.3251492892653,-776.1915973499163,-0.14635614,-0.19886503,-0.20124993,-0.043757416,-0.052488703,-886.2007320968985,0.3554102,-0.1382635,0.36887085,49.959760427474976,-0.17340122,512.9862060546875,-0.15803888,-8,85.30213928222656,0.5280487,-1.4871106147766113,-0.16635798,0.012335408478975296,0.15593520844169867,-9.745622634887695,5.609597206115723,4196,-867.0061491514542,0.5045679,-0.005953403,-0.16518296,-0.005869386
4300,-1004.4388079795084,-529.1636133659631,-0.1496057,-0.20088775,-0.20371866,-0.04273504,-0.047127526,-1134.8535303970857,0.25166672,-0.14716561,0.26396692,47.88116765022278,-0.36249995,496.902099609375,-0.36250004,-8,75.4463882446289,0.0,-1.9234868288040161,-0.36249995,0.08618967980146408,0.15047336515407586,-8.785272598266602,3.6595029830932617,4296,-1812.5002086162567,0.0,0.0,-0.36250004,0.0
4400,-895.9134719343507,-480.9546635916922,-0.1449327,-0.17918268,-0.17471291,-0.028541654,-0.033282973,-1068.5222758818418,0.31850782,-0.13477334,0.30764356,46.92273569107056,-0.18237598,499.6920166015625,-0.080785625,-8,52.337127685546875,0.24416265,-1.2477720975875854,-0.08518893,0.03800657391548157,0.15864852388047457,-9.501799583435059,4.262737035751343,4396,-911.8798643234413,0.2882889,-0.09408141,-0.19368331,-0.08098921
4500,-725.59583554511,-375.6124423246365,-0.09962794,-0.14511918,-0.15454261,-0.03790935,-0.05336972,-484.77350725152064,0.3586813,-0.09049893,0.41572925,45.28571367263794,-0.13902053,478.6780700683594,-0.10106471,-8,38.909812927246094,0.53273165,-1.024029016494751,-0.1117926,-0.068074069917202,0.1573254615359566,-8.646354675292969,4.107946872711182,4496,-695.1026801485568,0.49447078,-0.022861734,-0.1284988,-0.02268994
4600,-875.2669369595591,-451.98738586797845,-0.110345915,-0.17505337,-0.21874495,-0.053922895,-0.09383394,-877.1972512517823,0.07499744,-0.10614423,0.30437538,45.65637469291687,-0.14691128,480.07928466796875,-0.08702404,-8,40.5303840637207,0.3992979,-1.6122784614562988,-0.09082838,0.02078475058078766,0.14852264833853343,-9.191230773925781,4.478342056274414,4596,-734.556376879425,0.45335346,-0.06201223,-0.16143872,-0.046735734
4700,-571.614740022663,-438.92350326059386,-0.09595689,-0.11432295,-0.09883682,-0.015305048,-0.015588706,-622.96687032911,0.65635335,-0.08013037,0.60614175,45.419275999069214,-0.24206382,471.762451171875,-0.16851781,-8,52.47520446777344,0.3668914,-1.1291141510009766,-0.21370962,-0.09593375772237778,0.1604140420900136,-8.828929901123047,4.973827362060547,4696,-1210.3191691887605,0.2958143,-0.040927716,-0.21763107,-0.02362851
4800,-907.419944018463,-374.56082734279335,-0.114264734,-0.18148398,-0.19236282,-0.056016058,-0.07372481,-697.5851507986226,0.2910095,-0.10389304,0.34128124,48.88092541694641,-0.105064295,472.63671875,-0.07399445,-8,65.10183715820312,0.7162434,-1.1704542636871338,-0.08902762,-0.03691773861646652,0.15999182763072864,-9.619491577148438,4.181058883666992,4796,-525.3214214938748,0.67038655,-0.013710805,-0.09044742,-0.013363881
4900,-956.9750387685981,-525.9205070929602,-0.12290964,-0.19139501,-0.21241912,-0.057071142,-0.08170199,-554.6440473000985,0.13629,-0.11437676,0.2011818,45.263447284698486,-0.14660591,464.1572265625,-0.086888574,-8,59.52342224121094,0.58359426,-1.1861109733581543,-0.10250772,0.0052318572998046875,0.14784984011890467,-9.607421875,5.291428565979004,4896,-733.029474937357,0.548905,-0.04036942,-0.13533188,-0.036748484
5000,-914.4582869606272,-494.17014367374577,-0.133755,-0.18289167,-0.19131143,-0.040947217,-0.053310733,-1361.3848785053779,0.32396573,-0.12733856,0.35238472,50.15334868431091,-0.17464308,470.38055419921875,-0.15704407,-8,56.35967254638672,0.5458501,-1.8033745288848877,-0.1700037,-0.060305044054985046,0.15999227649632472,-9.621172904968262,4.913856029510498,4996,-873.2153569872025,0.50977385,-0.0039556962,-0.1617909,-0.0038661328
5100,-854.7058472777651,-544.8726199808408,-0.12148123,-0.17094117,-0.16778368,-0.041216623,-0.046109296,-945.1340901583899,0.35561398,-0.11245251,0.35024467,47.49995160102844,-0.22594395,449.17559814453125,-0.13113272,-8,62.00600814819336,0.25525877,-1.3210649490356445,-0.14484932,-0.015173276886343956,0.16703152599476367,-9.06591796875,5.8055260181427,5096,-1129.7196966662887,0.29115626,-0.088544615,-0.23738626,-0.06757885
5200,-771.7765790942627,-437.6146086593268,-0.12311239,-0.15435532,-0.15035732,-0.02603577,-0.027017647,-1003.7063731495052,0.3879271,-0.11793615,0.37450188,44.15326976776123,-0.16393219,391.4492492675781,-0.14618993,-8,53.90119171142578,0.5792568,-1.1875990629196167,-0.15514208,-0.06655175238847733,0.17514124421741226,-8.831677436828613,4.665460109710693,5196,-819.6608722908422,0.55543816,-0.007465942,-0.15514906,-0.007325077
5300,-1142.598499278456,-611.5604887600057,-0.13170251,-0.2285197,-0.23012833,-0.08068098,-0.08986084,-753.8774290843867,0.08835728,-0.122295305,0.11091801,47.87772011756897,-0.24547556,403.0130920410156,-0.103498444,-8,54.8238525390625,-0.038077082,-1.4087860584259033,-0.10776738,0.040612589567899704,0.16428710403774927,-9.008934020996094,4.166759252548218,5296,-1227.3778105859856,-0.007079144,-0.12461072,-0.2530313,-0.114756815
5400,-748.7222802343937,-508.68553581181914,-0.1173203,-0.14974445,-0.14385597,-0.027020136,-0.029921314,-921.6524029615175,0.48529902,-0.10795039,0.46645296,45.2203311920166,-0.10666565,388.6715087890625,-0.08514261,-8,67.74931335449219,0.6834064,-1.8905954360961914,-0.09553678,-0.030644122511148453,0.1619880167530422,-8.835352897644043,4.042280673980713,5396,-533.3281899103895,0.651704,-0.009845149,-0.09695679,-0.009274048
5500,-1093.0657262059194,-644.331093247738,-0.14005487,-0.21861315,-0.230897,-0.06546523,-0.07834459,-1100.0230084241412,0.21907313,-0.13688348,0.26188496,52.65913724899292,-0.2800491,371.7756652832031,-0.11307982,-8,123.81217956542969,-0.3815891,-1.1078553199768066,-0.114558384,0.014358047395944595,0.18990154644558002,-9.447254180908203,4.378333330154419,5496,-1400.2455295990148,-0.09287445,-0.20079368,-0.35403225,-0.13790895
5600,-753.7980445332993,-455.1366935274564,-0.1053698,-0.15075961,-0.14972909,-0.037824843,-0.04375614,-530.8133931905104,0.34706008,-0.09722172,0.35091686,44.80978345870972,-0.27954713,372.12091064453125,-0.09891998,-8,87.79254150390625,-0.326286,-1.0208889245986938,-0.10400006,-0.035322561860084534,0.19395196357390257,-9.311092376708984,4.2270519733428955,5596,-1397.7356140143274,-0.27792963,-0.15933758,-0.29012507,-0.14628923
5700,-956.6350912473692,-475.6758988904767,-0.12563956,-0.19132702,-0.2096943,-0.054739546,-0.07096864,-597.6449448638596,0.11802904,-0.124531925,0.19826621,44.670122146606445,-0.17934847,369.3385314941406,-0.12766962,-8,54.19799041748047,0.379207,-0.792641282081604,-0.1292634,0.19274140894412994,0.17861574182479142,-8.533039093017578,4.740988731384277,5696,-896.7424018522252,0.42608488,-0.0552735,-0.19399782,-0.041737568
5800,-664.7582335339733,-376.1329520680033,-0.09877512,-0.13295166,-0.1421693,-0.028480437,-0.041445337,-677.8200063633744,0.40095243,-0.0924349,0.46132472,43.72342252731323,-0.29814765,354.60772705078125,-0.25021684,-8,56.81641387939453,-0.20831203,0.003999590873718262,-0.25011015,0.05569957196712494,0.2103814399909844,-8.837499618530273,3.1984243392944336,5796,-1490.7383945118636,-0.1925906,-0.04321767,-0.30207804,-0.040031314
5900,-909.3748874672381,-581.3617724672076,-0.13215616,-0.18187498,-0.18665697,-0.041432343,-0.05324201,-683.3255390598788,0.2806597,-0.12276657,0.31086293,45.95324897766113,-0.12530763,341.3627624511719,-0.10688338,-8,84.40965270996094,0.3804432,0.247415691614151,-0.11243943,0.04041336476802826,0.19410831136593343,-8.087268829345703,4.015597105026245,5896,-626.5381897066254,0.35325092,-0.010963126,-0.12003913,-0.010723506
